job_loss_article_headline,job_loss_article_url,job_loss_country_name,job_loss_date_accessed,job_loss_dates_mentioned,job_loss_entities_mentioned,job_loss_extracted_text,job_loss_id,job_loss_language,job_loss_numbers_mentioned,job_loss_publication_date,job_loss_publication_name,country,id
"""Indonesia's Ramadan spending spree spoiled by coronavirus""",https://asia.nikkei.com//Business/Retail/Indonesia-s-Ramadan-spending-spree-spoiled-by-coronavirus2,Asia,2020-10-24,"['five days', 'one day']",[],"A nationwide flight ban for all but essential workers was also imposed, while the holiday period was cut from five days to just one day.",2875,English,[],"'May 29, 2020 18:25 JST'",Nikkei Asia - Business/Retail,Asia,12
"""China's partial reopening, SoftBank results and Singapore Airshow""",https://asia.nikkei.com//Spotlight/Your-Week-in-Asia/China-s-partial-reopening-SoftBank-results-and-Singapore-Airshow,Asia,2020-10-24,[],"['Uchida', 'Carlos', 'Ghosn']","As Uchida makes haste to restructure the car company, which faces low profitability following the aggressive expansion led by former chairman Carlos Ghosn, investors are watching to see whether there will be further layoffs.",2894,English,[],"'February 9, 2020 18:38 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Asia's retail gold demand sinks as price hits 9-year high""",https://asia.nikkei.com//Business/Markets/Commodities/Asia-s-retail-gold-demand-sinks-as-price-hits-9-year-high,Asia,2020-10-24,[],[],"""Besides, there's growing unemployment and people do not seem to have enough [money] in hand to spend on jewelry.""",2871,English,[],"'July 20, 2020 14:00 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Cambodia's garment industry hangs by a thread""",https://asia.nikkei.com//Spotlight/Coronavirus/Cambodia-s-garment-industry-hangs-by-a-thread,Asia,2020-10-24,[],[],"But as Chinese textile factories appear unlikely to return to full operation anytime soon, labor unions are expressing skepticism about the ability of companies to continue providing this compensation for unemployment.",2881,English,[],"'March 6, 2020 15:07 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Beijing Diary: 'Humiliation' of the past, black swans of the future""",https://asia.nikkei.com//Spotlight/Coronavirus/Beijing-Diary-Humiliation-of-the-past-black-swans-of-the-future,Asia,2020-10-24,[],['China'],China fired back immediately.,2889,English,[],"'February 11, 2020 04:15 JST'",Nikkei Asia - Business/Retail,Asia,12
'Amazon and Reliance eye stake in India retail pioneer Future Group',https://asia.nikkei.com//Business/Business-deals/Amazon-and-Reliance-eye-stake-in-India-retail-pioneer-Future-Group,Asia,2020-10-24,[],[],Deal aimed at raising up to $2bn to cut store operator's debt,2878,English,[],"'June 19, 2020 18:14 JST'",Nikkei Asia - Business/Retail,Asia,12
'Uniqlo cuts earnings outlook amid Asia political storm',https://asia.nikkei.com//Business/Retail/Uniqlo-cuts-earnings-outlook-amid-Asia-political-storm,Asia,2020-10-24,[],"['Fast', 'Retailing']","Even with the boycott, a Fast Retailing executive said the company has ""no plans"" to close stores or cut payroll at this time.",2897,English,[],"'January 10, 2020 03:24 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Cambodia's garment industry hangs by a thread""",https://asia.nikkei.com//Spotlight/Coronavirus/Cambodia-s-garment-industry-hangs-by-a-thread,Asia,2020-10-24,[],"['coronavirus', 'China']","Factories face idling 160,000 workers as coronavirus cuts China textile supply",2880,English,"['160,000']","'March 6, 2020 15:07 JST'",Nikkei Asia - Business/Retail,Asia,12
'Vietnam garment makers hung out to dry as global orders vanish',https://asia.nikkei.com//Business/Companies/Vietnam-garment-makers-hung-out-to-dry-as-global-orders-vanish,Asia,2020-10-24,[],[],"Fearing that widespread job losses could lead to social unrest, the Vietnamese government is rolling out a 62 trillion dong aid package for displaced workers and distressed businesses.",2888,English,[],"'April 19, 2020 20:48 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Flipkart and Amazon square off in India's $7bn festive season""",https://asia.nikkei.com//Business/Business-trends/Flipkart-and-Amazon-square-off-in-India-s-7bn-festive-season,Asia,2020-10-24,[],[],He added that cheaper brands were also unlikely to do well because of widespread job losses and wage cuts in the wake of the pandemic.,2873,English,[],"'October 19, 2020 13:59 JST'",Nikkei Asia - Business/Retail,Asia,12
'Luxury brands bid adieu to Hong Kong amid coronavirus and unrest',https://asia.nikkei.com//Business/Business-trends/Luxury-brands-bid-adieu-to-Hong-Kong-amid-coronavirus-and-unrest,Asia,2020-10-24,['this month'],"['Hong', 'Kong', 'Macao']","Hong Kong also severed its last public transportation link with neighboring Macao this month, which is likely to largely cut off revenue from tourists who would visit the ""shopper's paradise"" of Hong Kong before heading to Macao to gamble.",2893,English,[],"'April 10, 2020 03:02 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Asia's retail gold demand sinks as price hits 9-year high""",https://asia.nikkei.com//Business/Markets/Commodities/Asia-s-retail-gold-demand-sinks-as-price-hits-9-year-high,Asia,2020-10-24,['May'],"['Asia', 'Bank', 'Japan', 'Reserve', 'India', 'May']","In Asia, the Bank of Japan is continuing its own huge asset-buying program, while the Reserve Bank of India in May cut its benchmark interest rate 40 basis points to 4% in a surprise move.",2870,English,['40'],"'July 20, 2020 14:00 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Asia's retail gold demand sinks as price hits 9-year high""",https://asia.nikkei.com//Business/Markets/Commodities/Asia-s-retail-gold-demand-sinks-as-price-hits-9-year-high,Asia,2020-10-24,['March'],"['U.S.', 'Federal', 'Reserve', 'March']","In the U.S., the Federal Reserve cut interest rates essentially to zero in March and launched a massive $700 billion quantitative easing program.",2869,English,['zero'],"'July 20, 2020 14:00 JST'",Nikkei Asia - Business/Retail,Asia,12
'Indonesian informal workers lose work in coronavirus outbreak',https://asia.nikkei.com//Spotlight/Society/Indonesian-informal-workers-lose-work-in-coronavirus-outbreak2,Asia,2020-10-24,['August'],"['Widodo', 'August']","In view of increased unemployment, the Widodo administration has brought forward the issuance of these cards from August, when it was originally scheduled.",2884,English,[],"'March 21, 2020 15:23 JST'",Nikkei Asia - Business/Retail,Asia,12
'Uniqlo cuts earnings outlook amid Asia political storm',https://asia.nikkei.com//Business/Retail/Uniqlo-cuts-earnings-outlook-amid-Asia-political-storm,Asia,2020-10-24,['fiscal 2019'],[],"Its revenue forecast was cut to 2.34 trillion yen, a 2% rise from fiscal 2019.",2896,English,[],"'January 10, 2020 03:24 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Beijing Diary: 'Humiliation' of the past, black swans of the future""",https://asia.nikkei.com//Spotlight/Coronavirus/Beijing-Diary-Humiliation-of-the-past-black-swans-of-the-future,Asia,2020-10-24,[],[],Most banks have cut back on their teller windows and few pedestrians were out on the main street.,2890,English,[],"'February 11, 2020 04:15 JST'",Nikkei Asia - Business/Retail,Asia,12
'Indonesian informal workers lose work in coronavirus outbreak',https://asia.nikkei.com//Spotlight/Society/Indonesian-informal-workers-lose-work-in-coronavirus-outbreak2,Asia,2020-10-24,[],[],She has already cut back on clothing and other expenses to buy food.,2883,English,[],"'March 21, 2020 15:23 JST'",Nikkei Asia - Business/Retail,Asia,12
'Hong Kong-listed fashion brand Esprit takes new hit from pandemic',https://asia.nikkei.com//Business/Retail/Hong-Kong-listed-fashion-brand-Esprit-takes-new-hit-from-pandemic,Asia,2020-10-24,['the financial year ending 30 June 2021'],"['Ophelia', 'Lo', 'Tik', 'June']","Significant cuts have already been made, but Ophelia Lo Tik-man, the company secretary, said in a statement: ""Further store closures are expected to occur in the financial year ending 30 June 2021.""",2872,English,[],"'September 30, 2020 14:02 JST'",Nikkei Asia - Business/Retail,Asia,12
'Singapore growth forecasts slashed as virus hits key sectors',https://asia.nikkei.com//Business/Markets/Nikkei-Markets/Singapore-growth-forecasts-slashed-as-virus-hits-key-sectors,Asia,2020-10-24,[],['Singapore'],"Singapore retailers have been badly hit by the fall in visitor arrivals, and many have already shortened operating hours and reduced staffing levels to cut expenses.",2882,English,[],"'March 11, 2020 18:27 JST'",Nikkei Asia - Business/Retail,Asia,12
"""China's partial reopening, SoftBank results and Singapore Airshow""",https://asia.nikkei.com//Spotlight/Your-Week-in-Asia/China-s-partial-reopening-SoftBank-results-and-Singapore-Airshow,Asia,2020-10-24,['July'],['July'],"The company announced 12,500 job cuts worldwide in July.",2895,English,"['12,500']","'February 9, 2020 18:38 JST'",Nikkei Asia - Business/Retail,Asia,12
"""China's street-stall debate puts Xi and Li at odds""",https://asia.nikkei.com//Editor-s-Picks/China-up-close/China-s-street-stall-debate-puts-Xi-and-Li-at-odds,Asia,2020-10-24,[],['China'],"The interest comes as China faces exceptionally high unemployment, with many struggling to find jobs.",2876,English,[],"'June 11, 2020 04:00 JST'",Nikkei Asia - Business/Retail,Asia,12
'Uniqlo boosts investment in e-commerce in Japan and China',https://asia.nikkei.com//Business/Retail/Uniqlo-boosts-investment-in-e-commerce-in-Japan-and-China,Asia,2020-10-24,['the current five days'],"['Osaka', 'Japan']",The Osaka base is expected to help cut delivery times from the current five days to three or less in western Japan.,2874,English,['three'],"'September 15, 2020 13:15 JST'",Nikkei Asia - Business/Retail,Asia,12
"""China's street-stall debate puts Xi and Li at odds""",https://asia.nikkei.com//Editor-s-Picks/China-up-close/China-s-street-stall-debate-puts-Xi-and-Li-at-odds,Asia,2020-10-24,[],"['Xi', 'China']","The return of the street-stall economy is not pleasant for Xi because it conjures memories of the early stages of China's ""reform and opening-up,"" when the stalls helped reduce unemployment.",2877,English,[],"'June 11, 2020 04:00 JST'",Nikkei Asia - Business/Retail,Asia,12
'Hong Kong service sector hammered by coronavirus',https://asia.nikkei.com//Business/Business-trends/Hong-Kong-service-sector-hammered-by-coronavirus,Asia,2020-10-24,['last summer'],"['Hong', 'Kong']","The train operator was able to weather ongoing anti-China protests in Hong Kong since last summer, which cut visits from the mainland, by enhancing freight services.",2887,English,[],"'April 20, 2020 11:40 JST'",Nikkei Asia - Business/Retail,Asia,12
'Fast Retailing cuts annual profit forecast by 38%',https://asia.nikkei.com//Business/Retail/Fast-Retailing-cuts-annual-profit-forecast-by-38,Asia,2020-10-24,['the current fiscal year'],[],This is the second time the company has cut its earnings forecast for the current fiscal year.,2886,English,[],"'April 9, 2020 19:42 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Beijing Diary: 'Humiliation' of the past, black swans of the future""",https://asia.nikkei.com//Spotlight/Coronavirus/Beijing-Diary-Humiliation-of-the-past-black-swans-of-the-future,Asia,2020-10-24,"['one-year', 'three months']",['LPR'],"This morning, the central bank cut its benchmark one-year loan prime rate, or LPR, for the first time in three months.",2891,English,[],"'February 11, 2020 04:15 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Beijing Diary: 'Humiliation' of the past, black swans of the future""",https://asia.nikkei.com//Spotlight/Coronavirus/Beijing-Diary-Humiliation-of-the-past-black-swans-of-the-future,Asia,2020-10-24,"['Thursday, February 13']","['Thursday', 'February', 'Bicycle']","Thursday, February 13: Bicycle alarms cut through silence in business district",2892,English,[],"'February 11, 2020 04:15 JST'",Nikkei Asia - Business/Retail,Asia,12
"""Exclusive: Toray develops 'first' 100% plant-based polyester""",https://asia.nikkei.com//Business/Materials/Exclusive-Toray-develops-first-100-plant-based-polyester,Asia,2020-10-24,[],"['Toray', 'Industries', 'Nikkei']","TOKYO -- Japanese materials maker Toray Industries looks to start mass production of polyester made entirely from plants, a breakthrough poised to cut reliance on petroleum and slash carbon emissions, Nikkei has learned.",2885,English,[],"'February 22, 2020 04:57 JST'",Nikkei Asia - Business/Retail,Asia,12
'Vietnam greenlights EU trade pact in bid for China-exit deals',https://asia.nikkei.com//Economy/Trade/Vietnam-greenlights-EU-trade-pact-in-bid-for-China-exit-deals,Asia,2020-10-24,"['March', 'April']","['Vietnam', 'March', 'April', 'May.']","Vietnam's garment industry reported that all enterprises were affected by the pandemic, saying that 70% of members were urged to cut laborers in March and more will have to reduce laborers in April and May.",2879,English,[],"'June 8, 2020 20:47 JST'",Nikkei Asia - Business/Retail,Asia,12
"'', ""East Asian presence and casualwear boost Fast Retailing's sales""",https://retailasia.net//fashion/news/east-asian-presence-and-casualwear-boost-fast-retailings-sales,Asia,2020-10-24,[],[],"Stephens noted that these brands also have more premium price points, which would have made them less desirable as unemployment rates continue to rise globally.",4401,English,[],'Published: 21 Oct 20',Retail Asia - Fashion,Asia,12
"'', 'Virtual fashion technology booms in China'",https://retailasia.net//fashion/in-focus/virtual-fashion-technology-booms-in-china,Asia,2020-10-24,[],[],"We believe one of the key factors for consumption to recover steadily is in controlling the unemployment rate,” she said.",4400,English,['one'],'Published: 06 Jul 20',Retail Asia - Fashion,Asia,12
'Clear cutting at Galeria Karstadt Kaufhof',https://www.textilzeitung.at/business/news/kahlschlag-bei-galeria-karstadt-kaufhof-12354,Austria,2020-10-23,[],"['Karstadt', 'Sport', 'Group']","According to a report, the radical cuts also affect the Karstadt Sport branches and the Group's travel agencies.",523,German,[],'18. May 2020',TextilZeitung - Business,Austria,11
'Tally Weijl closes 200 stores',https://www.textilzeitung.at/business/news/tally-weijl-schliesst-200-laeden--12352,Austria,2020-10-23,[],"['Switzerland', 'Basel']","According to the press report, only five to ten branches are likely to be closed in Switzerland, while 50 to 80 jobs will be cut at the headquarters in Basel.",521,German,"['only five to ten', '50 to 80']",'13. May 2020',TextilZeitung - Business,Austria,11
'Zalando wants to save € 350 million',https://www.textilzeitung.at/business/news/zalando-will-350-mio.--einsparen-12275,Austria,2020-10-23,[],[],"According to the report, the aim is to avoid layoffs.",532,German,[],'14. April 2020',TextilZeitung - Business,Austria,11
'Relief measures are still not arriving',https://www.textilzeitung.at/business/news/hilfsmassnahmen-kommen-immer-noch-nicht-an-12396,Austria,2020-10-23,[],[],"""And, finally:"" If we do not want to slide into a wave of bankruptcies and very high unemployment, we have to overcome this challenge together.",515,German,[],'04. June 2020',TextilZeitung - Business,Austria,11
'Fynch Hatton structured re-start',https://www.textilzeitung.at/business/news/fynch-hatton-strukturiert-re-start-12320,Austria,2020-10-23,[],"['Christian', 'Bieniek']","And in partnership, with cuts on both sides, ”explains managing director Christian Bieniek.",530,German,[],'04. May 2020',TextilZeitung - Business,Austria,11
'Brax is restructuring management level',https://www.textilzeitung.at/business/news/fuehrungsumbau-brax-baut-fuehrungsebene-um-13213,Austria,2020-10-23,['Around four weeks ago'],[],"Around four weeks ago, the company announced that it would cut 120 to 140 jobs in the short term.",541,German,"['120', '140']",'03. August 2020',TextilZeitung - Business,Austria,11
'Esprit closes every second German branch',https://www.textilzeitung.at/business/handel/kahlschlag-esprit-schliesst-jede-zweite-deutsche-filiale-13102,Austria,2020-10-23,[],[],"As a result, 800 German branch employees lose their jobs.",539,German,[],"'July 02, 2020'",TextilZeitung - Business,Austria,11
'The closure list is getting shorter',https://www.textilzeitung.at/business/handel/galeria-karstadt-kaufhof-die-schliessungsliste-wird-kuerzer-13158,Austria,2020-10-23,[],"['Galeria', 'Karstadt', 'Kaufhof']","At the ailing German department store group Galeria Karstadt Kaufhof, fewer locations are being cut than originally announced.",552,German,[],'20th July 2020',TextilZeitung - Business,Austria,11
'Swarovski: Every fourth person has to go',https://www.textilzeitung.at/business/industrie/kahlschlag-swarovski-jeder-vierte-muss-gehen-13169,Austria,2020-10-23,['the end of July'],"['July', 'Wattens']","At the end of July, a terrible report made the rounds: The largest Tyrolean employer announced in a broadcast it would cut 600 jobs, 200 of them at the company's headquarters in Wattens.",551,German,"['600', '200']","'July 22, 2020'",TextilZeitung - Business,Austria,11
'Clear cutting at Galeria Karstadt Kaufhof',https://www.textilzeitung.at/business/news/kahlschlag-bei-galeria-karstadt-kaufhof-12354,Austria,2020-10-23,[],"['René', 'Benko']","But according to media reports that refer to informants from the corporate environment, drastic cuts are needed at the department store group of Austrian investor René Benko.",520,German,[],'18. May 2020',TextilZeitung - Business,Austria,11
'The wave of layoffs begins at Nike',https://www.textilzeitung.at/business/news/einsparungen-in-oregon-bei-nike-beginnt-die-entlassungswelle-13216,Austria,2020-10-23,[],['US'],But that should only be the beginning of a wave of layoffs at the US company.,542,German,[],'04. August 2020',TextilZeitung - Business,Austria,11
"'""As much innovation as there has not been in the last 70 years""'",https://www.textilzeitung.at/business/news/so-viel-innovation-wie-die-letzten-70-jahre-nicht-12360,Austria,2020-10-23,[],[],But the dimension of this cut is a unique experience for our generation.,526,German,[],'19. May 2020',TextilZeitung - Business,Austria,11
"'Corona aid: ""No matter what the cost!""'",https://www.textilzeitung.at/business/news/corona-hilfe-koste-es-was-es-wolle-12178,Austria,2020-10-23,['a few days'],[],Companies with zero sales would need liquidity within a few days in order not to cut their employees.,507,German,['zero'],"'March 19, 2020'",TextilZeitung - Business,Austria,11
'Swarovski in turbulence',https://www.textilzeitung.at/business/news/krise-bei-tirols-groesstem-arbeitgeber-swarovski-in-turblenzen-13088,Austria,2020-10-23,"['September', 'autumn']","['Swarovski', 'September', 'Tyrolean', 'SPÖ', 'Georg', 'Dornauer']","During the crisis, Swarovski used the possibility of short-time working and has now extended it to September: ""Swarovski wants to collect the short-time allowances by autumn and then push ahead with further job cuts,"" said Tyrolean SPÖ boss Georg Dornauer.",536,German,[],'29. June 2020',TextilZeitung - Business,Austria,11
'Again improvement in short-time work',https://www.textilzeitung.at/business/news/abermals-nachbesserung-bei-kurzarbeit-12194,Austria,2020-10-23,['one month'],['AMS'],Especially SMEs and employment-intensive dealers who register their employees for short-time work and thus avoid dismissals are currently struggling with a weighty challenge: the corresponding compensation from the AMS is only paid out one month in retrospect.,509,German,[],"'March 23, 2020'",TextilZeitung - Business,Austria,11
'Corona crisis changes consumer behavior',https://www.textilzeitung.at/business/news/corona-krise-aendert-konsumverhalten-12416,Austria,2020-10-23,[],['Austrians'],Fronaschütz: »Over 70% of Austrians name unemployment and health as the issues that have gained the greatest importance during the crisis.,531,German,[],'15. June 2020',TextilZeitung - Business,Austria,11
"'»Talk to suppliers, banks and landlords as quickly as possible«'",https://www.textilzeitung.at/business/news/schleunigst-mit-lieferanten-banken-und-vermietern-sprechen-12187,Austria,2020-10-23,[],[],"I don't see dismissals as an alternative, if only because of the long notice periods.",508,German,[],"'March 20, 2020'",TextilZeitung - Business,Austria,11
'Esprit closes every second German branch',https://www.textilzeitung.at/business/handel/kahlschlag-esprit-schliesst-jede-zweite-deutsche-filiale-13102,Austria,2020-10-23,[],['Germany'],"In addition, another 300 jobs in other areas will be cut in Germany.",540,German,['300'],"'July 02, 2020'",TextilZeitung - Business,Austria,11
'Ahlers is reducing staff',https://www.textilzeitung.at/business/news/stellenreduzierung-ahlers-baut-personal-ab-13357,Austria,2020-10-23,[],"['Supervisory', 'Board', 'Management']","In order to adjust the cost situation, the Supervisory Board and Management Board have decided to cut staff across all areas and hierarchy levels.",548,German,[],'23. September 2020',TextilZeitung - Business,Austria,11
'Brake on consumption',https://www.textilzeitung.at/business/news/vollbremsung-beim-konsum-12395,Austria,2020-10-23,['the coming months'],['Austrians'],"In view of rising unemployment and short-time work, Austrians want to reduce their consumption significantly in the coming months, shows a current market survey with 1,000 participants.",517,German,"['1,000']",'04. June 2020',TextilZeitung - Business,Austria,11
'Wolford: Cutting moves to Slovenia',https://www.textilzeitung.at/business/industrie/54-mitarbeiter-muessen-gehen-wolford-zuschnitt-wandert-nach-slowenien-13269,Austria,2020-10-23,[],['Slovenia'],It doesn't make sense to cut fabric here and then transport the piece to Slovenia for sewing; these areas have to be brought together.,555,German,[],'24. August 2020',TextilZeitung - Business,Austria,11
'Swarovski in turbulence',https://www.textilzeitung.at/business/news/krise-bei-tirols-groesstem-arbeitgeber-swarovski-in-turblenzen-13088,Austria,2020-10-23,['Last week'],['Wattens'],"Last week, a terrible report made it round: The largest Tyrolean employer announced in a broadcast it would cut 600 jobs, 200 of them at the company's headquarters in Wattens.",535,German,"['600', '200']",'29. June 2020',TextilZeitung - Business,Austria,11
'Dressmann Austria bankrupt',https://www.textilzeitung.at/business/news/dressmann-oesterreich-in-konkurs-12358,Austria,2020-10-23,[],['AKV'],"No improvement is to be expected in the near future either, as ""the consumer behavior of customers has declined due to the uncertain economic situation and the high unemployment rate,"" according to the AKV.",527,German,[],'19. May 2020',TextilZeitung - Business,Austria,11
'Gerry Weber can go on smaller',https://www.textilzeitung.at/business/news/gerry-weber-kann-kleiner-weiter-machen-12397,Austria,2020-10-23,[],[],"Now the fashion group has to cut more than 200 more of the last 3,000 jobs.",516,German,"['more than 200', 'last 3,000']",'04. June 2020',TextilZeitung - Business,Austria,11
'Bugatti: Downsizing in Herford',https://www.textilzeitung.at/business/news/starke-belastung-durch-corona-bugatti-stellenabbau-in-herford-13321,Austria,2020-10-23,[],['Herford'],"Of the 349 employees at the headquarters in Herford, 100 jobs will be cut across all areas and hierarchical levels.",547,German,"['349', '100']",'09. September 2020',TextilZeitung - Business,Austria,11
